Date,Close
12/12/16,32.4
12/13/16,32.83
12/14/16,32.82
12/15/16,32.75
12/16/16,32.84
12/19/16,32.83
12/20/16,32.85
12/21/16,32.4
12/22/16,32.34
12/23/16,32.48
12/27/16,32.53
12/28/16,32.35
12/29/16,32.49
12/30/16,32.48
1/3/17,33
1/4/17,33.29
1/5/17,33.61
1/6/17,33.48
1/9/17,33.47
1/10/17,33.44
1/11/17,32.83
1/12/17,32.6
1/13/17,32.52
1/17/17,32.06
1/18/17,32.03
1/19/17,31.7
1/20/17,31.77
1/23/17,31.46
1/24/17,31.15
1/25/17,31.29
1/26/17,31.28
1/27/17,31.42
1/30/17,31.31
1/31/17,31.73
2/1/17,31.67
2/2/17,31.73
2/3/17,32.09
2/6/17,32.23
2/7/17,32.08
2/8/17,32.14
2/9/17,32.38
2/10/17,32.35
2/13/17,32.61
2/14/17,32.75
2/15/17,33.51
2/16/17,33.62
2/17/17,33.62
2/21/17,33.62
2/22/17,33.59
2/23/17,34.06
2/24/17,34.26
2/27/17,34.28
2/28/17,34.12
3/1/17,34.42
3/2/17,34.51
3/3/17,34.52
3/6/17,34.35
3/7/17,33.99
3/8/17,33.91
3/9/17,34.05
3/10/17,34.11
3/13/17,34.11
3/14/17,34.22
3/15/17,34.63
3/16/17,34.43
3/17/17,34.32
3/20/17,34.38
3/21/17,34.25
3/22/17,34.47
3/23/17,34.29
3/24/17,34
3/27/17,34.18
3/28/17,34.16
3/29/17,34.33
3/30/17,34.35
3/31/17,34.21
4/3/17,34.24
4/4/17,34.34
4/5/17,34.19
4/6/17,34.11
4/7/17,34.1
4/10/17,34.04
4/11/17,33.93
4/12/17,33.92
4/13/17,33.88
4/17/17,34
4/18/17,33.84
4/19/17,33.61
4/20/17,33.74
4/21/17,33.64
4/24/17,33.74
4/25/17,33.76
4/26/17,33.85
4/27/17,33.86
4/28/17,33.92
5/1/17,33.78
5/2/17,33.61
5/3/17,33.47
5/4/17,33.45
5/5/17,33.48
5/8/17,33.45
5/9/17,33.38
5/10/17,33.03
5/11/17,33.04
5/12/17,33.01
